"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","X102.092_0.611","X105.07_2.767","X111.044_2.768","X114.092_1.761","X119.049_2.765","X122.082_0.534","X128.018_0.344","X130.087_0.452","X132.102_0.307","X136.062_0.301","X136.097_0.551","X137.046_0.35","X137.046_0.42","X141.091_1.54","X141.959_6.859","X142.027_0.328","X142.035_0.315","X150.059_0.3","X166.053_0.305","X172.134_2.343","X175.148_2.71","X192.125_4.643","X198.15_2.471","X200.165_3.207","X203.007_0.309","X214.181_2.634","X216.16_2.471","X226.181_2.61","X228.196_2.71","X230.176_2.586","X232.191_2.63","X236.163_2.635","X240.116_2.324","X242.212_2.78","X242.586_2.766","X249.112_2.768","X251.037_0.323","X256.227_2.847","X256.227_3.318","X256.264_3.225","X258.111_0.302","X258.207_2.775","X263.091_2.771","X263.2_2.895","X267.123_2.767","X272.222_2.957","X276.02_2.431","X277.216_3.018","X278.186_2.23","X278.248_3.1","X280.189_2.775","X280.263_3.169","X280.264_3.159","X281.102_2.768","X282.28_3.246","X285.133_2.768","X291.146_2.39","X295.227_3.017","X296.258_2.976","X296.259_2.971","X298.2_2.676","X300.199_2.264","X301.115_0.328","X301.115_0.413","X303.305_3.529","X303.648_2.884","X305.248_3.26","X306.279_2.989","X306.279_3.212","X308.295_3.045","X308.295_3.285","X311.221_2.932","X324.29_3.082","X324.327_3.455","X327.232_3.01","X333.063_2.524","X334.311_3.335","X345.243_3.095","X348.288_3.044","X351.217_2.741","X352.306_2.997","X352.321_3.187","X366.373_3.699","X368.316_2.962","X368.317_3.315","X369.17_2.767","X377.146_2.225","X380.993_2.164","X385.165_2.771","X386.717_2.856","X387.181_2.767","X387.192_2.843","X387.193_2.842","X396.332_2.991","X397.22_2.071","X399.394_3.159","X399.395_3.152","X400.342_2.89","X400.97_2.127","X404.207_2.768","X406.154_2.765","X409.162_2.768","X415.14_2.768","X416.337_2.79","X420.899_2.103","X425.136_2.773","X426.484_2.164","X428.205_2.248","X430.223_2.768","X430.223_2.769","X440.359_2.985","X444.332_3.016","X446.218_2.884","X448.342_2.867","X458.23_2.165","X466.25_2.226","X472.363_3.023","X475.989_2.164","X476.24_2.164","X484.385_2.982","X486.098_2.765","X488.359_3.01","X489.228_2.768","X494.325_2.865","X502.294_2.879","X506.255_3.172","X511.21_3.171","X516.39_3.018","X522.357_2.957","X528.311_2.928","X530.289_2.929","X532.385_3.004","X538.315_2.977","X544.34_2.89","X546.029_2.319","X560.416_3.006","X568.341_2.887","X570.357_2.934","X576.411_2.999","X580.362_2.984","X590.322_2.887","X596.357_2.948","X599.241_2.765","X602.344_2.984","X604.362_2.948","X604.442_3.001","X607.227_2.771","X608.227_2.768","X608.393_3.098","X616.308_2.766","X620.356_2.913","X620.437_2.993","X637.306_3.32","X648.468_2.995","X650.403_3.014","X650.978_2.339","X654.332_3.32","X664.419_3.086","X664.463_2.992","X666.433_3.092","X666.434_3.024","X668.414_2.975","X679.068_2.179","X682.363_3.329","X682.364_3.313","X690.434_3.14","X692.414_2.985","X696.443_3.1","X696.445_3.083","X705.141_2.339","X708.445_3.006","X708.489_2.982","X709.936_2.18","X720.445_3.09","X737.391_2.399","X748.439_2.944","X752.515_2.977","X764.524_3.729","X776.042_2.398","X776.095_2.398","X776.148_2.398","X776.253_2.398","X776.359_2.398","X776.411_2.398","X790.38_2.768","X792.329_2.764","X795.335_2.768","X801.313_2.768","X801.815_2.767","X811.309_2.773","X811.31_2.767","X819.211_2.398","X819.322_2.398","X819.378_2.399","X819.433_2.399","X867.281_2.399","X898.581_3.224","X268.105_0.35","X269.088_0.35","X293.211_2.933","X368.389_3.90","X440.337_2.765","X442.353_2.823"
"X631_Group15_142dpi_LA_191_G_C7_P120.mzXML",631,"Group15","142dpi","LA","C7","P120",0.000106712,0.001468007,1.71e-05,0.000153242,0,0,0,0,0.004542831,0,0,0.004774179,0.006940436,0,0.000370157,1.56e-05,0.000536306,0.000677218,3.74e-05,0.000159961,0.000403807,0,0,0.002166257,3.49e-05,0.00200852,3.99e-05,0.006540835,0.021452257,0.000133618,0.000117264,0,0.000380672,0.000158325,0,0,0,0.000809718,0.000553132,0.000719282,0.000231348,0,0,6.29e-05,0.001224041,0.002056893,0,0.000101965,0,0.00032599,0,0.000683528,0,0.000195354,0,0.000771861,2.62e-05,0.000628846,0.000260792,0,0,0,0,0,0,0,3.77e-05,3.02e-05,1.7e-05,0.001213525,0.000765551,0,0.00065829,0,0.000158326,0.00049214,0.00057206,0,0,9.82e-05,0,0.003701566,0.001861299,0.000288133,0,0.000397498,7.12e-05,0,3.35e-05,1.63e-05,0.027761744,0,0,0,0,1.63e-05,0,0.002671016,0,0.006751151,0,0.001913878,0.000135926,0.000988486,2.74e-05,0.000454283,0,0.000188546,0,0.000746623,1.88e-05,1.91e-05,0,0.000178488,0,0,0,0,0,0,0,5.61e-05,0.00103055,0.000389085,0.000940114,0,0,5.4e-05,0.012219374,0,0,0.000121437,0.00029234,0.004248388,1.71e-05,5.9e-05,0.006667025,0.000304959,9.81e-05,0,1.49e-05,0.008517808,0,0,7.25e-05,5.26e-05,0,4.39e-05,0.004206325,0,0.000115269,0.000129452,0.001297651,2.92e-05,0.000294443,0.00041222,6.34e-05,0.000588885,8.46e-05,0.00065198,0.001007415,0,0,0.000192517,0,0.000309165,0.000561544,0,0.000304959,0.000429045,0.000374363,3.66e-05,3.56e-05,0.000288133,0,0,2e-05,0,0,0,4.65e-05,6.58e-05,5.93e-05,4.6e-05,0.000321784,0,4.4e-05,3.02e-05,2.93e-05,1.53e-05,0,4.35e-05,6.97e-05,5.31e-05,4.84e-05,3.6e-05,0.000119238,0,0.000201047,7.13e-05,0.000243967,0.000340712,0.000340712
"X632_Group15_142dpi_LA_192_G_C8_P120.mzXML",632,"Group15","142dpi","LA","C8","P120",0,0.002451593,0,0.000419394,0,0,0,0,0.002761323,0,0,0.004976681,0.003816505,0,0,0,0.000729703,0.000227608,0,0.000453397,0.000383332,0.000322339,0.000871444,0.005023928,4.2e-05,0,0.000708705,0.002404346,0.022836037,0,9.13e-05,0,0,9.68e-05,0,0,0,0.000656208,0.00035198,0.000405564,0.000640459,0,0,0,0.001758637,0.000115094,0,0,0,0.000687706,0,0.000965938,0,0.000315055,0,0.000976437,0,0.000187566,0.000309517,0,0,0,0,0,0,0,0,5.69e-05,5.22e-05,0.002094616,0.000876694,0,0.00061946,0,0,0.001139177,0.000443364,0,0,0,7.49e-05,0,0,5.83e-05,0,0.000614211,0,0,0.00018129,0,0.049871805,6.14e-05,0,8.01e-05,0,0,0,0.001039433,0,0.013544132,0,0.004493712,0,9.09e-05,0,0.000535466,0,0.000130355,0,0.001202173,9.37e-05,0.000119935,0.000101582,5.09e-05,0,0,0,0,0,0,0,0.000237917,0.002792821,0,0.000326395,0,0,0,0.00561714,0,0,0.00062471,0.00062996,0.001748138,0,0,0.002351849,0.000183178,0.000551215,0,0,0.014279085,0,0,4.3e-05,0,0.000251281,0,0.005249664,0,4.61e-05,0.000530216,0.002367598,0,0.000312186,6.08e-05,0.000191011,0.001228421,0.000241511,0.001018435,0.002771822,5.63e-05,0,8.09e-05,0,0.000144665,0.000376063,0,9.13e-05,0.000166782,4.32e-05,0.000170148,0,0.000396785,0,0.000131022,0.000113173,0,0,0,0,0,0,0,0.000897692,0,0.000322933,0,0,0,0,0,0,0,0,0,0,0,0.000766451,0,7.46e-05,0,0
"X633_Group15_142dpi_LA_193_G_C9_P120.mzXML",633,"Group15","142dpi","LA","C9","P120",0,0.002662075,3.17e-05,0.000208759,0,0,0,0,0.00132162,0,0,0.003139239,0.002194328,0,0.000612152,0,0.000376709,5.56e-05,0,0.00037043,0.000354734,0.000313924,0.000401823,0.00433215,2.57e-05,0.001010835,0.000345316,0.00206562,0.021692145,4.71e-05,0.000238268,0,3.67e-05,0.000169205,0,9.1e-05,0,0.000816202,0.000543088,0.000646683,0.00017517,0,0,0,0.002112708,6.28e-05,0,0,0,0.000389266,0,0.00045519,0,0.000492861,0,0.00115524,0,7.53e-05,0.000173286,0,0,0,0,0,0,0,0,3.17e-05,3.04e-05,0.001105012,0.000797367,0,0.000335899,0,0,0.000483443,0.000860152,0,0,0,0,0.001767392,0,6.66e-05,0,0.000891544,0,0,4.05e-05,0,0.063412638,7.57e-05,0,3.77e-05,0,0,0,0.000186471,0,0.022508347,0,0.008727086,0.0001488,0.000323342,0,0.000919797,0,0.000102339,0,0.000157276,4.27e-05,0,5.46e-05,0,0,0,0,0,0,0,0,4.8e-05,0.002505113,0,0.000262754,0,0,0,0.002329316,0,0,0.000109246,0.000408101,0.000797367,0,0,0.001619848,0,7.47e-05,0,0,0.007094681,2.72e-05,0,2.67e-05,2.28e-05,0.000195261,0,0.003641518,4.55e-05,0,0.00012557,0.001509974,0,0.000354734,0,0.000128395,0.000568202,5.62e-05,0.000489721,0.001418936,2.48e-05,0,0.000139382,0,6.87e-05,0.000103281,0,4.99e-05,4.68e-05,6.47e-05,4.11e-05,0,0.000252395,0,4.9e-05,0,0,0,0,0,4.14e-05,0,0,0.001148962,0,0.000474025,0.000140952,0,2.53e-05,0,0,0,3.83e-05,0,0,0,0,0.000436354,0,0.000533671,6.4e-05,0
"X634_Group15_142dpi_LA_194_G_C10_P120.mzXML",634,"Group15","142dpi","LA","C10","P120",0.000194999,0.00246465,2.48e-05,0.000139244,0,0,0,0,0.002050062,0,0,0.004088688,0.00463194,0,0,0,0.000397432,0.000132668,0,0.000239603,0.000247895,0,0.000325951,0.00385995,4.52e-05,0.001778436,0.000222162,0.005003639,0.017098149,8.29e-05,0.000121803,0,7.03e-05,0.000159259,0,2.54e-05,0.000308796,0.000717665,0.000680495,0.000832034,0.000408869,0,0,0,0.001775577,2.92e-05,0,0.000250182,0,0.000397432,0,0.000686213,0,0.000343107,0,0.000980713,0,0.00114083,0.000261619,0,0,0,0,0,0,0,0,6.8e-05,5.92e-05,0.001441048,0.001000728,0,0.000609014,0,9.84e-05,0.001075068,0.000980713,0,0,0.000124662,0,0.003002183,0.003116552,0.000148965,0,0.000617592,0,0,9.24e-05,0,0.045747555,4.89e-05,0,2.41e-05,0,2.94e-05,0,0.001641194,0,0.013038053,0,0.004203057,0.000325951,0.000437461,0,0.000503223,0,0.000190138,0,0.000966417,0,0,2.66e-05,0,0,0,0,0,0,2.51e-05,0,0,0.001489655,0.000241604,0.00051466,0,0,0,0.012551985,0,0,2.86e-05,0.000232455,0.003059368,0,2.82e-05,0.004288833,0.000267623,3.46e-05,0,0,0.007691308,0,0,2.14e-05,2.36e-05,2.15e-05,0.000193283,0.003459659,4.12e-05,7.18e-05,6.95e-05,0.001521106,0,0.0002945,5.72e-05,9.18e-05,0.000508942,3.15e-05,0.000594718,0.001080786,0.000317374,0,0.000260761,0,0.000166121,0.000414587,0,0.000141246,6.92e-05,0.000221876,0,0,0.0001767,0,0.000113511,0,0,0,0,0,0,0,0,0.000680495,0,0.000192997,0.000122661,0.000130666,2.18e-05,0,0,0,0,2.68e-05,0,0,0,0.000577563,0.000181275,0.000352542,0.000257902,0.000297359
"X635_Group15_142dpi_LA_195_G_C11_P120.mzXML",635,"Group15","142dpi","LA","C11","P120",0,0.002699999,3.84e-05,0.000207687,0,0,0,0,0.003173764,0,0,0.013201019,0,0,0.000602555,0,0.000781942,0.000170165,0,0.000359506,0.000304687,0,0.000653151,0.003440544,4.09e-05,0.001218909,0.000570358,0.003284156,0.024424184,0.00020751,0.000116241,0,5.21e-05,0.00012637,0,4.39e-05,0.00041319,0.00094293,0.000309317,0.000588756,0,0,0,0,0.002295229,7.84e-05,0,0.000103555,0,0.000528961,0,0.000896933,0,0.00041476,0,0.001471891,0,0.000689949,0.000295715,0,0,0,0,0,0,0,0,5.15e-05,3.64e-05,0.001954855,0.000892334,0,0.000579557,0,0,0.00215724,0.000334186,0,0,4.33e-05,0,0.002359625,0.001269506,0.000115123,0,0.000768143,0,0,0.000142223,0,0.062555349,7.41e-05,0,3.46e-05,0,0,0,0.000547359,0,0.017340711,0,0.006393525,0.000177045,0.000255615,0,0.000758944,0,9.88e-05,0,0.001168313,0,0.000207841,5.59e-05,0,0,0,0.000287367,0,0,3.9e-05,0,0.000469165,0.001780068,4.92e-05,0.000469165,0,0,0.000309757,0.005841566,0,0,0.000680749,0.000449517,0.001674276,0,0.000422163,0.002000851,0,0.00094293,0,0,0.010717203,0,0,0,0.000356543,4.38e-05,0.000137621,0.005795569,3.98e-05,4.5e-05,0.000781942,0.00255741,0.000230825,0.000450979,9.17e-05,0.000185184,0.000956729,0.000846337,0.001136116,0.001982453,0.00022972,0,0.000397932,0,0.000268983,0.000593356,0,0.000134789,0.000104806,0.000247032,0.000515162,0,0.000284977,0,0,0.000270149,0,0,0,0,0,0,0,0.000873935,0,0.000311981,6.81e-05,0,3.54e-05,0,0,0,0,0,0,0,0,0.000634753,0,6.42e-05,6.56e-05,7.26e-05
"X716_Group15_142dpi_LA_216_G_E8_P120.mzXML",716,"Group15","142dpi","LA","E8","P120",0.000279059,0.003315541,3.79e-05,0.000142589,0,0,0,0,0.003319339,0,0,0.005506913,0.004785317,0,0.000247334,0,0.000546893,0.000207627,0,0.000421564,0.000413968,0.000194213,0.00076717,0.003399094,0,0.001222914,0.000524106,0.002666105,0.025673607,0,0.000167416,0,0.000165311,0.000164905,0,3.94e-05,0,0.000987446,0.000497521,0.000600064,0,0,0,0,0.002681297,0.005165104,0,3.34e-05,0,0.000387383,0,0.000657032,0,0.000581074,0,0.001530542,0,0.000360625,0.00022604,0,0,0,0,0,0,0,0,3.78e-05,0,0.001458382,0.000717798,0,0.000512713,0,0,0.001720435,0.000520308,0,0,0,0,0.002404052,0.001879946,0.000146874,0,0.001071,0,0,0.00016269,0,0.065703166,0,0,0,0,3.93e-05,0,0.000539298,0,0.016064994,0,0.006304466,0.000166664,0.000391181,0,0.001146957,0,0.000122474,0,0.001967297,4.03e-05,3.55e-05,3.78e-05,0,0,0,5.11e-05,0,0,4.11e-05,0,0.000100906,0.002977531,8.05e-05,0.000451947,0,0,0.000115465,0.006304466,0,0,0.000212851,0.00036838,0.002145797,0,6.53e-05,0.003137041,8.02e-05,0.000178134,0,0,0.010064358,0,0,3.09e-05,0.000106275,0.000125468,0.000134067,0.005051168,0,3.95e-05,0.000236714,0.002119212,4.92e-05,0.000505117,7.84e-05,0.000138372,0.001108978,0.000146812,0,0.001876148,0.000299005,0,0.000326757,0,0.000293627,0.000634244,0,0.000229822,9.84e-05,0.000307352,7.06e-05,0,0.000351664,0,0.000168097,0,0,0,0,0,0,0,0,0.001260893,0,0.00048233,6.61e-05,0,3.28e-05,0,0,0,0,0,0,3.21e-05,0,0.000524106,0,0.000114063,0.000159271,0.00016883
"X717_Group15_142dpi_LA_217_G_E9_P120.mzXML",717,"Group15","142dpi","LA","E9","P120",0,0.002282333,0,9.3e-05,0,0,0,0,0.002097422,0,0,0.005705833,0.005309595,0,0.000586433,0,0.000491336,0.000177328,4.94e-05,0.000235668,0.000417371,0.000134073,0.000433221,0.003671809,7.6e-05,0.001164941,0.000390955,0.006154903,0.021079883,0,0.000166659,0,0,0.000124899,0,2.42e-05,0,0.000895499,0.000768702,0.000937764,0.000150241,0,0,0,0.00189402,9.04e-05,0,2.86e-05,0,0.00044907,0,0.00073172,0,0.000367181,0,0.001017012,0,0.000338123,0.000208185,0,2.98e-05,0,0,0,0,0,0,6.35e-05,6.48e-05,0.001299662,0.000927198,0,0.000396238,0,0,0.001038145,0.000853233,0,0,0,0,0.002720837,0,0.000142413,0,0.00063134,0,0,9.07e-05,0,0.045963654,4.29e-05,0,2.31e-05,0,0,0,0.000214795,0,0.011702241,0,0.003830304,0.000100154,0.000152724,0,0.000702663,0,6.92e-05,0,0.00118079,0,3.46e-05,2.68e-05,3.52e-05,0,0,3.68e-05,0,0,2.87e-05,0,9.14e-05,0.001751374,6.87e-05,0.000560017,0,0,8.3e-05,0.006841716,0,3.25e-05,0.00013418,0.000335482,0.001685334,0,5.87e-05,0.001886095,0,0.000214798,0,0,0.007660609,0,0,5.85e-05,4.95e-05,6.7e-05,7.47e-05,0.003381234,3.78e-05,4.8e-05,0.000156537,0.001368343,4.83e-05,0.000369823,6.38e-05,9.58e-05,0.000686813,0.000158816,0,0.001518914,0.000512468,0,0.00020205,0,0.000324915,0.000684172,0,0.000201355,0.000137467,0.000377747,0.00010919,0,0.000274725,4.31e-05,0.000217187,4.33e-05,0,7.55e-05,7.98e-05,0.000158731,0.0002203,0.000198833,0.000133008,0.000760778,0,0.000306424,4.36e-05,0,0,0,0.000186172,0.000234824,0.000223851,0.000171751,6.17e-05,0.00038303,0,0.00074757,1.87e-05,0.000210929,7.23e-05,4.49e-05
"X718_Group15_142dpi_LA_218_G_E10_P120.mzXML",718,"Group15","142dpi","LA","E10","P120",0.000164925,0.002873687,2.84e-05,0.000119891,0,0,0,0.000120792,0.004154315,0,0,0.009063959,0.011467282,0,0,0,0.000535598,0.000387965,5.35e-05,0.000285253,0.000374232,0,0.000367365,0.002684855,5.88e-05,0.001658293,0.000357065,0.007175634,0.021904568,0,0.000320917,0,0.000226467,0.000196839,0,4.09e-05,0.000477231,0.000892663,0.000439465,0.000741597,0.000340654,0,0,0,0.002437656,0.000168987,0,0.000350198,0,0.000597397,0,0.001143295,0,0.000394832,0,0.001507227,0,0.001678892,0.000387965,0,0,0,0,0,0,0,0,0.000132855,5.71e-05,0.002145824,0.001359594,0,0.000772497,0,0.000134718,0.001201661,0.000741597,0,0,9.26e-05,0,0.002911454,0.000878929,0.000254978,0,0.000851463,0,0,0.000146096,0,0.055276418,0.000110109,0,3.07e-05,0,6.19e-05,0,0.000322993,0,0.012909275,0,0.004737979,0.000357065,0.000552764,0,0.000865196,0,0.000152317,0,0.001658293,2.96e-05,3.34e-05,3.89e-05,0.000185847,0,0,8.08e-05,5.79e-05,6.19e-05,2.82e-05,0,0.000147032,0.002430789,0,0.000971629,0,0,0.000110305,0.010299954,0,2.81e-05,0.000240756,0.000300295,0.004703646,0,0.000121089,0.006282972,0,0.000266091,0,0,0.009922289,0,0,6.95e-05,0.000106739,0,0.000317732,0.004325981,3.21e-05,8.98e-05,0.000271155,0.002695155,8.66e-05,0.000600831,0.000156312,0.000249455,0.001012829,0.000222988,0,0.002626488,0,0,0.000381098,0,0,0.00067293,0,0.000209846,0.000203485,0,0.000131136,0,0.000583664,0,0,4.59e-05,0,0,4.07e-05,0,4.16e-05,0,0,0.000868629,0,0.000303494,0.000145602,0,0,0,4.05e-05,7e-05,4.49e-05,3.84e-05,0,0,0,0.001198228,0.00021345,3.72e-05,0.000155033,0.000188531
"X719_Group15_142dpi_LA_219_G_E11_P120.mzXML",719,"Group15","142dpi","LA","E11","P120",0,0.001617018,2.97e-05,0.000158752,3.9e-05,0,0,0,0.0054531,0,0,0.003719455,0.004885725,0,0.000371946,0,0.00030068,0.000542158,0,9.51e-05,0.000162963,0,8.72e-05,0.001478326,0,0.000526398,8.21e-05,0.002553186,0.014657176,6.62e-05,8.41e-05,0,7.13e-05,0,0,2.89e-05,0.000155063,0.000466508,0.000532702,0.000639872,0,0,0,0,0.001702124,0.0002212,0,0.001809294,0,0.000504333,0,0.000961385,0,0.000268217,0,0.000983449,0,0.006776974,0.000265946,0,0,0,0,0,0,0,0,0.000150447,3.13e-05,0.001821903,0.001207247,0,0.000598895,0,0,0.001172574,0.000731283,0,0,0.000368793,2.25e-05,0.002550033,0.002449167,0.000247996,0,0.000472812,0,0.000104974,4.5e-05,0,0.037824971,0,0,0,0,2.36e-05,0,0.000441291,0,0.011883345,0,0.003530331,0.000132182,0.000334121,5.22e-05,0.001330178,0,0.000209902,0,0.000794324,2.48e-05,3.85e-05,0,0,4.85e-05,0.000166037,0,0.000608352,0.00062096,0,0,0.00011115,0.001178878,0,0.000854214,0,0,3.38e-05,0.007974765,0,0,9.16e-05,0.000212726,0.002212761,0,3.68e-05,0.002092982,0,0.000168914,0,0,0.011126846,0,0,0,4.39e-05,0,0.000112894,0.003372727,0,0.000160237,0.000131407,0.001128445,3.68e-05,0.000406618,0.000198686,4.44e-05,0.000825845,0.000135538,0,0.002074069,0.000327816,0,0.000139747,0,0.000307083,0.000901495,0,0.000136229,0.000227167,0.000409771,5.58e-05,0,0.000397162,0,0.000161351,0,0,0,0,0,0,0,0,0.000583135,0,0.000223897,4.41e-05,0,5.06e-05,0,0,0,0,0,0,0.000102625,0,0.000300446,0.000936168,0.000137044,5.64e-05,0.000102105
"X720_Group15_142dpi_LA_220_G_E12_P120.mzXML",720,"Group15","142dpi","LA","E12","P120",0.000244051,0.002334795,0,0.000186933,0,0,0,0,0.004195115,0,0,0.020294396,0,0,0.00093016,0,0.000901973,0.0006342,0,0.00041146,0.000615409,0,0.000878484,0.003744128,0.000171362,0.002649546,0.000699969,0.007704354,0.037253371,0.00023669,0.000188929,0,7.55e-05,0.000271803,0,0,0.00059192,0.001207329,0.000313682,0.000629502,0.000349019,0,0,0,0.001780457,7.86e-05,0,4.29e-05,0,0.000535547,0,0.000916066,0,0.000269849,0,0.000901973,0,0.000441715,0.000376029,0,0,7.7e-05,0,0,0,0,0,5.76e-05,3.56e-05,0.001855622,0.00067648,0,0.000892578,0,0,0.002273724,0.000297369,0,0,0,0,0.004298466,0.001235515,0.000276987,0,0.00054964,0,0,0,0,0.042092081,8.93e-05,0,0,0,4.65e-05,0,6.32e-05,0,0.013999375,0,0.004040088,0.000218239,7.26e-05,0,0.001066395,0,0.000133794,0,0.000977138,0,0,0,0,0,0,0.000141896,0,0,0,0,9.41e-05,0.000817413,5.75e-05,0.000493267,0,0,0.000168121,0.008878798,0,0,0.000280401,0.000382877,0.00207172,0,0.000170093,0.002499217,0.0001159,0.000302461,0,0,0.010335109,0,0,4.54e-05,0.000148229,0,0,0.006013154,3.53e-05,4.77e-05,0.000332823,0.002217351,6.79e-05,0.000397447,0.000135826,0.00019387,0.000793924,0.000242347,0,0.002301911,0.000582524,0,0.000274721,0,0.000286142,0.000587222,0,0.000234375,0.000143996,0.000368242,0.000102013,0,0.000211327,0,0.000196775,6.13e-05,0,0,0,5.47e-05,5.63e-05,5e-05,4.18e-05,0.000582524,0,0.000188212,0,0,0,0,5.95e-05,5.81e-05,6.41e-05,0,0,0,0,0.001274049,0,5.51e-05,9.53e-05,7.7e-05
"X801_Group15_142dpi_LA_241_G_G9_P120.mzXML",801,"Group15","142dpi","LA","G9","P120",0,0.001857325,2.15e-05,0.0001052,0,0,0,1.92e-05,0.003246543,0,0,0.007122261,0.008581947,0,0,0,0.00050334,0.000329688,5.69e-05,0.00023854,0.000425322,0.000231437,0.000334721,0.002718036,0,0.001097281,0.000317104,0.003850551,0.023304643,0,4.47e-05,0,0.000221317,0.000213363,0,2.08e-05,0,0.000989063,0.000815411,0.001009197,0.000139114,0,0,0,0.001499953,0.001713873,0,0.000385055,0,0.000528507,0,0.00096893,0,0,0,0.000946279,0,0.001515053,0.000299487,0,0,0,0,0,0,0,0,3.65e-05,6.65e-05,0.001585521,0.000835544,0,0.000596458,0,4.47e-05,0.00078521,0.001170266,0,0,0.000151383,0,0.003145875,0.003045207,0.000269287,0,0.000531024,0,0,8.76e-05,2.06e-05,0.039260521,3.79e-05,0,0,0,2.96e-05,0,0.00047314,0,0.011048313,0,0.00352338,0.000116395,0.000963896,4.88e-05,0.000588908,2.27e-05,6.54e-05,0,0.000812894,0,0.000212098,2.61e-05,4.41e-05,0,0,0.000250726,2.92e-05,2.88e-05,1.83e-05,0,0.000468106,0.001474786,0.000119559,0.000649309,0,0,0.00025167,0.006845424,0,3.53e-05,0.000651825,0.000276837,0.002081311,0,0.000380022,0.002718036,0.000187161,0.000830511,0,0,0.008758116,0,0,9.08e-05,0.000367438,6.73e-05,0,0.004429392,0,0.000111133,0.000707193,0.001119932,0.00026677,0.000468106,0.000234907,3.76e-05,0.000906012,0.000614075,0,0.001364051,0.000286904,0,0.000175834,0,0.000220103,0.000636725,0,0.000177814,0.00025922,0.000166741,0.000407705,3.01e-05,0.000377505,0,0.000164822,0.000229058,0,0,0,0,3.98e-05,0,0,0.000624142,0,0.000190014,3.03e-05,0,3.86e-05,0,0,0,2.83e-05,0,0,0.000227165,0,0.00075501,0.000180338,0.000284387,0.000176112,0.000420289
"X802_Group15_142dpi_LA_242_G_G10_P120.mzXML",802,"Group15","142dpi","LA","G10","P120",0,0.00155945,0,7.23e-05,0,0,0,3.73e-05,0.003086888,0,0,0.007362799,0.01289633,0,0.000290396,0,0.000500762,0.000358994,0,0.000214807,0.00054192,0,0.000181198,0.002698168,0,0.001671492,0.000211912,0.009146334,0.028353634,0.000167112,0.000122548,0,6.84e-05,0.000182998,0,2.07e-05,0.000297256,0.001001524,0.000955792,0.000951219,0,0,0,2.29e-05,0.000992377,0.001022103,0,0.00044817,0,0.000331555,0,0.000733993,0,0,0,0.000681402,3.91e-05,0.002089937,0.000345274,0,0,0,2.21e-05,0,0,0,2.43e-05,6.2e-05,2.39e-05,0.001321645,0.000980944,0,0.000745426,0,0.000132716,0.000539634,0.000583079,0,0,0.000225341,0,0.004344508,0.002515242,0.000215961,0,0.000338414,3.29e-05,0,3.62e-05,2.77e-05,0.028582292,3.67e-05,0,0,0,0,0,0.004321643,0,0.007477128,0,0.002309449,8.22e-05,0.000221751,6.9e-05,0.000443597,9.88e-05,0.000149223,0,0.000759146,1.72e-05,2.69e-05,1.62e-05,0.000153924,0,0,2.32e-05,0,0,0,0,8.23e-05,0.000964938,0.000172982,0.000827743,0,0,3.79e-05,0.013307915,0,4.72e-05,0.000125976,0.000315549,0.00439024,0,4.06e-05,0.004870423,0.000324695,0.000134436,0,0,0.00768292,0,0,0.000105439,4e-05,0,2.84e-05,0.004458838,0,0.000137252,0.000138383,0.001086127,3.03e-05,0.000345274,0.000363567,4.51e-05,0.000626524,0.00010775,0,0.001168444,0.000477896,2.98e-05,0.000104552,0,0.000230945,0.000617378,0,0.000297256,0.000349847,0.000400152,7.2e-05,3.57e-05,0.000345274,0,0.000184137,2.9e-05,0,0,2.89e-05,3.54e-05,0.000104996,0,3.04e-05,0.000370427,0,5.53e-05,1.96e-05,0,0,0,4.3e-05,5.13e-05,9.68e-05,4.19e-05,0,0.00014016,0,0.000884908,0.000372713,0.000265244,0.000261,0.000193439
